datetime,Guide Target_ft,Reservoir Level_ft,outflow_cfs,WaterSupply_cfs,inflow_cfs
2/18/2011,251.5,249.53,95,61,429
2/19/2011,251.5,249.49,95,50,73
2/20/2011,251.5,249.45,95,43,80
2/21/2011,251.5,249.43,95,68,54
2/22/2011,251.5,249.41,95,50,36
2/23/2011,251.5,249.38,95,52,16
2/24/2011,251.5,249.34,95,54,69
2/25/2011,251.5,249.39,95,61,429
2/26/2011,251.5,249.32,95,66,221
2/27/2011,251.5,249.29,95,66,2
2/28/2011,251.5,249.4,95,50,744
3/1/2011,251.5,249.4,95,67,162
3/2/2011,251.5,249.44,95,56,369
3/3/2011,251.5,249.36,95,60,281
3/4/2011,251.5,249.39,95,51,309
3/5/2011,251.5,249.39,95,52,147
3/6/2011,251.5,249.55,95,42,1009
3/7/2011,251.5,249.61,82,59,468
3/8/2011,251.5,249.62,63,50,167
3/9/2011,251.5,249.68,63,50,440
3/10/2011,251.5,249.87,63,56,1155
3/11/2011,251.5,250.05,63,56,1120
3/12/2011,251.5,250.12,63,49,522
3/13/2011,251.5,250.17,63,54,409
3/14/2011,251.5,250.18,63,56,177
3/15/2011,251.5,250.2,63,47,227
3/16/2011,251.5,250.26,63,58,472
3/17/2011,251.5,250.28,63,52,232
3/18/2011,251.5,250.33,63,65,421
3/19/2011,251.5,250.32,63,58,63
3/20/2011,251.5,250.31,63,50,54
3/21/2011,251.5,250.34,75,61,312
3/22/2011,251.5,250.31,96,61,19
3/23/2011,251.5,250.34,96,72,344
3/24/2011,251.5,250.54,96,61,1327
3/25/2011,251.5,250.6,96,61,508
3/26/2011,251.5,250.67,96,58,563
3/27/2011,251.5,250.78,96,56,796
3/28/2011,251.5,250.9,97,60,859
3/29/2011,251.5,250.95,97,65,455
3/30/2011,251.5,251.39,97,52,2882
3/31/2011,251.5,251.94,97,55,3592
4/1/2011,251.5,252.13,98,62,1397
4/2/2011,251.5,252.21,98,62,690
4/3/2011,251.5,252.2,98,59,91
4/4/2011,251.5,252.25,98,61,490
4/5/2011,251.5,252.39,98,62,1087
4/6/2011,251.5,252.35,98,56,111
4/7/2011,251.5,252.37,98,50,281
4/8/2011,251.5,252.39,98,53,284
4/9/2011,251.5,252.46,98,57,618
4/10/2011,251.5,252.52,98,52,548
4/11/2011,251.5,252.63,175,63,967
4/12/2011,251.5,252.63,303,53,356
4/13/2011,251.5,252.65,303,61,497
4/14/2011,251.5,252.64,303,60,296
4/15/2011,251.5,252.51,303,56,502
4/16/2011,251.5,252.78,302,50,2141
4/17/2011,251.5,252.81,303,49,551
4/18/2011,251.5,252.82,303,58,427
4/19/2011,251.5,252.8,303,62,232
4/20/2011,251.5,252.83,303,66,568
4/21/2011,251.5,252.74,303,55,238
4/22/2011,251.5,252.74,303,54,357
4/23/2011,251.5,252.72,303,53,223
4/24/2011,251.5,252.7,303,51,222
4/25/2011,251.5,252.63,303,61,100
4/26/2011,251.5,252.64,303,62,431
4/27/2011,251.5,252.47,302,65,759
4/28/2011,251.5,252.38,302,57,237
4/29/2011,251.5,252.52,302,59,1289
4/30/2011,251.5,252.47,302,65,36
5/1/2011,251.5,252.38,302,57,237
5/2/2011,251.5,252.34,302,61,98
5/3/2011,251.5,252.25,302,66,228
5/4/2011,251.5,252.48,302,58,1883
5/5/2011,251.5,252.44,302,58,95
5/6/2011,251.5,252.43,302,64,299
5/7/2011,251.5,252.44,302,61,430
5/8/2011,251.5,252.42,302,61,230
5/9/2011,251.5,252.39,302,61,164
5/10/2011,251.5,252.35,302,69,106
5/11/2011,251.5,252.29,302,63,32
5/12/2011,251.5,252.26,302,64,167
5/13/2011,251.5,252.23,301,58,160
5/14/2011,251.5,252.33,301,54,1017
5/15/2011,251.5,252.39,302,61,760
5/16/2011,251.5,252.41,302,61,496
5/17/2011,251.5,252.39,302,58,227
5/18/2011,251.5,252.41,302,66,501
5/19/2011,251.5,252.36,302,66,37
5/20/2011,251.5,252.32,302,61,98
5/21/2011,251.5,252.26,302,61,34
5/22/2011,251.5,252.19,301,73,90
5/23/2011,251.5,252.18,284,65,283
5/24/2011,251.5,252.16,253,65,185
5/25/2011,251.5,252.08,225,73,232
5/26/2011,251.5,251.93,175,72,721
5/27/2011,251.5,252.31,153,80,2725
5/28/2011,251.5,252.5,154,62,1474
5/29/2011,251.5,252.53,154,50,403
5/30/2011,251.5,252.51,234,60,161
5/31/2011,251.5,252.48,302,79,182
6/1/2011,251.5,252.42,302,73,22
6/2/2011,251.5,252.35,302,80,82
6/3/2011,251.5,252.26,302,81,213
6/4/2011,251.5,252.17,301,86,209
6/5/2011,251.5,252.11,301,71,25
6/6/2011,251.5,252.05,266,73,58
6/7/2011,251.5,251.98,209,78,169
6/8/2011,251.5,251.92,169,89,118
6/9/2011,251.5,251.88,137,87,26
6/10/2011,251.5,251.9,136,82,343
6/11/2011,251.5,251.93,153,74,415
6/12/2011,251.5,251.97,153,73,477
6/13/2011,251.5,251.94,153,68,33
6/14/2011,251.5,251.9,153,80,17
6/15/2011,251.5,251.82,153,81,267
6/16/2011,251.5,251.75,153,74,211
6/17/2011,251.5,251.72,153,78,43
6/18/2011,251.5,251.64,153,73,274
6/19/2011,251.5,251.61,153,76,41
6/20/2011,251.5,251.54,153,77,208
6/21/2011,251.5,251.5,153,75,22
6/22/2011,251.5,251.44,153,84,139
6/23/2011,251.5,251.38,152,81,143
6/24/2011,251.5,251.35,152,81,45
6/25/2011,251.5,251.27,152,80,269
6/26/2011,251.5,251.2,152,78,208
6/27/2011,251.5,251.18,152,79,106
6/28/2011,251.5,251.25,113,70,621
6/29/2011,251.5,251.24,120,68,125
6/30/2011,251.5,251.18,152,78,145
7/1/2011,251.5,251.14,152,67,32
7/2/2011,251.5,251.08,152,88,135
7/3/2011,251.5,251.02,152,77,147
7/4/2011,251.5,250.96,152,59,148
7/5/2011,251.5,251,169,73,476
7/6/2011,251.5,251.01,148,73,284
7/7/2011,251.5,250.99,124,64,67
7/8/2011,251.5,251.06,124,60,618
7/9/2011,251.5,251.12,124,77,576
7/10/2011,251.5,251.08,124,62,64
7/11/2011,251.5,251.04,124,75,52
7/12/2011,251.5,251.02,124,83,82
7/13/2011,251.5,250.98,147,83,12
7/14/2011,251.5,250.89,152,73,302
7/15/2011,251.5,250.82,152,75,182
7/16/2011,251.5,250.76,152,81,118
7/17/2011,251.5,250.72,151,76,7
7/18/2011,251.5,250.66,162,77,112
7/19/2011,251.5,250.61,196,67,29
7/20/2011,251.5,250.52,199,104,224
7/21/2011,251.5,250.49,176,81,82
7/22/2011,251.5,250.41,172,87,209
7/23/2011,251.5,250.36,57,0,235
7/24/2011,251.5,250.26,172,74,339
7/25/2011,251.5,250.25,172,78,192
7/26/2011,251.5,250.19,140,63,148
7/27/2011,251.5,250.12,121,81,208
7/28/2011,251.5,250.07,151,82,59
7/29/2011,251.5,250,167,83,160
7/30/2011,251.5,249.98,179,91,161
7/31/2011,251.5,249.96,179,65,135
8/1/2011,251.5,249.92,131,68,19
8/2/2011,251.5,249.87,32,0,241
8/3/2011,251.5,249.82,150,72,50
8/4/2011,251.5,249.72,150,76,320
8/5/2011,251.5,249.66,150,84,93
8/6/2011,251.5,249.69,150,63,376
8/7/2011,251.5,249.65,123,63,32
8/8/2011,251.5,249.62,95,72,4
8/9/2011,251.5,249.57,95,72,106
8/10/2011,251.5,249.54,95,78,10
8/11/2011,251.5,249.46,116,80,240
8/12/2011,251.5,249.37,149,63,279
8/13/2011,251.5,249.41,149,78,445
8/14/2011,251.5,249.44,149,59,372
8/15/2011,251.5,249.42,120,69,80
8/16/2011,251.5,249.36,115,73,139
8/17/2011,251.5,249.28,149,80,207
8/18/2011,251.5,249.22,137,76,114
8/19/2011,251.5,249.22,132,63,195
8/20/2011,251.5,249.13,149,73,269
8/21/2011,251.5,249.1,149,59,44
8/22/2011,251.5,249.1,129,59,188
8/23/2011,251.5,249.02,95,71,270
8/24/2011,251.5,248.94,129,67,202
8/25/2011,251.5,248.89,149,74,18
8/26/2011,251.5,248.89,135,68,203
8/27/2011,251.5,248.87,121,54,79
8/28/2011,251.5,248.85,121,63,88
8/29/2011,251.5,248.83,121,60,85
8/30/2011,251.5,248.79,111,78,4
8/31/2011,251.5,248.75,95,60,38
9/1/2011,251.5,248.69,95,76,118
9/2/2011,251.5,248.64,119,60,62
9/3/2011,251.5,248.58,148,70,71
9/4/2011,251.5,248.51,148,63,126
9/5/2011,251.5,248.42,148,63,223
9/6/2011,251.5,248.53,123,63,716
9/7/2011,251.5,248.75,95,71,1226
9/8/2011,251.5,248.74,95,63,110
9/9/2011,251.5,248.7,106,63,24
9/10/2011,251.5,248.67,121,63,40
9/11/2011,251.5,248.61,121,78,90
9/12/2011,251.5,248.54,121,60,156
9/13/2011,251.5,248.5,121,83,11
9/14/2011,251.5,248.44,133,72,84
9/15/2011,251.5,248.48,149,82,424
9/16/2011,251.5,248.43,135,66,39
9/17/2011,251.5,248.42,121,57,130
9/18/2011,251.5,248.36,121,57,111
9/19/2011,251.5,248.3,121,72,96
9/20/2011,251.5,248.26,121,64,8
9/21/2011,251.5,248.25,120,60,132
9/22/2011,251.5,248.32,105,72,514
9/23/2011,251.5,248.4,94,57,536
9/24/2011,251.5,248.41,94,65,207
9/25/2011,251.5,248.36,94,58,89
9/26/2011,251.5,248.35,94,58,104
9/27/2011,251.5,248.3,94,69,77
9/28/2011,251.5,248.34,94,62,349
9/29/2011,251.5,248.3,94,68,31
9/30/2011,251.5,248.29,94,61,107
10/1/2011,251.5,248.21,94,67,224
10/2/2011,251.5,248.17,94,61,38
10/3/2011,251.5,248.09,94,62,229
10/4/2011,251.5,248.07,94,60,58
10/5/2011,251.5,248.03,94,70,29
10/6/2011,251.5,247.96,94,70,158
10/7/2011,251.5,247.92,106,67,4
10/8/2011,251.5,247.86,120,74,72
10/9/2011,251.5,247.81,120,60,42
10/10/2011,251.5,247.78,120,70,57
10/11/2011,251.5,247.72,106,63,97
10/12/2011,251.5,247.74,94,63,246
10/13/2011,251.5,247.7,94,50,33
10/14/2011,251.5,247.66,94,70,13
10/15/2011,251.5,247.62,93,67,17
10/16/2011,251.5,247.54,93,64,197
10/17/2011,251.5,247.5,110,69,2
10/18/2011,251.5,247.53,119,72,324
10/19/2011,251.5,247.77,105,63,1232
10/20/2011,251.5,247.72,94,49,78
10/21/2011,251.5,247.69,94,72,33
10/22/2011,251.5,247.65,94,54,29
10/23/2011,251.5,247.61,93,63,21
10/24/2011,251.5,247.59,93,58,62
10/25/2011,251.5,247.52,93,64,153
10/26/2011,251.5,247.5,93,57,61
10/27/2011,251.5,247.51,93,63,200
10/28/2011,251.5,247.4,93,66,329
10/29/2011,251.5,247.48,93,61,508
10/30/2011,251.5,247.44,93,62,22
10/31/2011,251.5,247.47,93,60,286
11/1/2011,251.5,247.42,93,49,80
11/2/2011,251.5,247.38,93,70,14
11/3/2011,251.5,247.33,93,60,69
11/4/2011,251.5,247.89,94,44,2621
11/5/2011,251.5,247.91,94,60,243
11/6/2011,251.5,247.91,94,62,156
11/7/2011,251.5,247.9,94,60,110
11/8/2011,251.5,247.87,94,60,21
11/9/2011,251.5,247.85,94,52,57
11/10/2011,251.5,247.81,94,72,11
11/11/2011,251.5,247.76,94,53,75
11/12/2011,251.5,247.74,94,60,66
11/13/2011,251.5,247.69,94,63,65
11/14/2011,251.5,247.67,94,49,54
11/15/2011,251.5,247.65,93,61,65
11/16/2011,251.5,247.7,93,72,387
11/17/2011,251.5,247.63,93,53,165
11/18/2011,251.5,247.65,93,71,253
11/19/2011,251.5,247.66,93,48,185
11/20/2011,251.5,247.62,93,60,24
11/21/2011,251.5,247.62,93,60,153
11/22/2011,251.5,247.57,93,67,61
11/23/2011,251.5,247.61,94,60,331
11/24/2011,251.5,247.59,93,43,47
11/25/2011,251.5,247.55,93,63,21
11/26/2011,251.5,247.54,93,50,99
11/27/2011,251.5,247.48,93,60,113
11/28/2011,251.5,247.39,93,60,246
11/29/2011,251.5,247.67,93,49,1383
11/30/2011,251.5,247.76,94,58,551
12/1/2011,251.5,247.76,94,67,161
12/2/2011,251.5,247.76,94,52,146
12/3/2011,251.5,247.74,94,59,65
12/4/2011,251.5,247.72,94,59,64
12/5/2011,251.5,247.71,94,56,106
12/6/2011,251.5,247.66,94,60,68
12/7/2011,251.5,247.86,93,66,1046
12/8/2011,251.5,247.8,94,49,123
12/9/2011,251.5,247.81,94,45,183
12/10/2011,251.5,247.81,94,60,154
12/11/2011,251.5,247.78,94,46,7
12/12/2011,251.5,247.77,94,50,100
12/13/2011,251.5,247.74,77,52,4
12/14/2011,251.5,247.72,56,51,18
12/15/2011,251.5,247.71,56,50,62
12/16/2011,251.5,247.76,56,57,334
12/17/2011,251.5,247.82,56,45,367
12/18/2011,251.5,247.83,56,57,157
12/19/2011,251.5,247.83,62,57,119
12/20/2011,251.5,247.83,62,52,114
12/21/2011,251.5,247.9,62,49,422
12/22/2011,251.5,248.02,62,59,660
12/23/2011,251.5,248.2,62,40,969
12/24/2011,251.5,248.25,63,55,359
12/25/2011,251.5,248.31,63,47,399
12/26/2011,251.5,248.32,63,46,157
12/27/2011,251.5,248.49,63,36,918
12/28/2011,251.5,248.48,63,63,78
12/29/2011,251.5,248.51,63,43,251
12/30/2011,251.5,248.51,63,60,123
12/31/2011,251.5,248.54,63,57,265
1/1/2012,251.5,248.62,63,41,489
1/2/2012,251.5,248.64,63,49,208
1/3/2012,251.5,248.55,63,58,313
1/4/2012,251.5,248.51,63,60,70
1/5/2012,251.5,248.5,63,60,75
1/6/2012,251.5,248.51,63,38,149
1/7/2012,251.5,248.5,63,57,72
1/8/2012,251.5,248.48,63,41,7
1/9/2012,251.5,248.51,63,59,267
1/10/2012,251.5,248.5,63,63,78
1/11/2012,251.5,248.58,63,46,494
1/12/2012,251.5,248.59,63,57,168
1/13/2012,251.5,248.63,63,57,313
1/14/2012,251.5,248.61,63,42,9
1/15/2012,251.5,248.58,63,57,25
1/16/2012,251.5,248.57,63,47,62
1/17/2012,251.5,248.55,63,47,14
1/18/2012,251.5,248.62,63,55,455
1/19/2012,251.5,248.59,63,60,22
1/20/2012,251.5,248.6,63,55,166
1/21/2012,251.5,248.66,63,59,411
1/22/2012,251.5,248.66,63,58,121
1/23/2012,251.5,248.66,63,47,110
1/24/2012,251.5,248.68,63,60,219
1/25/2012,251.5,248.68,63,50,113
1/26/2012,251.5,248.62,63,57,169
1/27/2012,251.5,248.79,63,57,939
1/28/2012,251.5,248.84,63,43,347
1/29/2012,251.5,248.82,63,60,27
1/30/2012,251.5,248.79,63,60,22
1/31/2012,251.5,248.79,63,51,114
2/1/2012,251.5,248.8,63,48,159
2/2/2012,251.5,248.8,63,60,123
2/3/2012,251.5,248.78,63,51,18
2/4/2012,251.5,248.8,63,47,206
2/5/2012,251.5,248.83,63,60,268
2/6/2012,251.5,248.84,63,48,159
2/7/2012,251.5,248.83,63,59,74
2/8/2012,251.5,248.87,63,56,312
2/9/2012,251.5,248.83,63,56,74
2/10/2012,251.5,248.87,63,53,309
2/11/2012,251.5,248.96,63,48,545
2/12/2012,251.5,248.83,63,50,513
2/13/2012,251.5,248.81,63,58,25
2/14/2012,251.5,248.8,63,58,73
2/15/2012,251.5,248.79,63,55,70
2/16/2012,251.5,248.84,63,48,352
2/17/2012,251.5,248.85,63,62,173
2/18/2012,251.5,248.85,63,58,121
2/19/2012,251.5,248.97,63,45,686
2/20/2012,251.5,249.02,63,57,374
2/21/2012,251.5,249.09,63,62,507
2/22/2012,251.5,249.14,63,48,384
2/23/2012,251.5,249.23,63,59,613
2/24/2012,251.5,249.46,63,54,1371
2/25/2012,251.5,249.47,63,67,184
2/26/2012,251.5,249.49,63,69,241
2/27/2012,251.5,249.56,63,53,498
2/28/2012,251.5,249.59,63,54,281
2/29/2012,251.5,249.65,63,45,435
3/1/2012,251.5,249.7,63,59,395
3/2/2012,251.5,249.71,63,59,176
3/3/2012,251.5,250.18,64,46,2744
3/4/2012,251.5,250.53,64,49,2161
3/5/2012,251.5,250.64,64,44,752
3/6/2012,251.5,250.66,64,58,239
3/7/2012,251.5,250.68,64,65,246
3/8/2012,251.51,250.7,64,49,230
3/9/2012,251.51,250.82,64,62,828
3/10/2012,251.51,250.81,64,62,67
3/11/2012,251.51,250.82,64,39,162
3/12/2012,251.51,250.83,64,66,188
3/13/2012,251.51,250.85,64,60,241
3/14/2012,251.51,250.86,64,57,179
3/15/2012,251.51,250.86,64,65,129
3/16/2012,251.51,250.9,64,54,352
3/17/2012,251.51,250.87,64,59,52
3/18/2012,251.51,250.89,64,59,240
3/19/2012,251.51,250.99,64,52,701
3/20/2012,251.51,251.22,64,58,1557
3/21/2012,251.51,251.33,64,48,800
3/22/2012,251.51,251.4,65,59,562
3/23/2012,251.5,251.44,65,62,377
3/24/2012,251.5,251.82,65,46,2488
3/25/2012,251.5,253.01,65,61,7945
3/26/2012,251.5,253.3,81,50,2133
3/27/2012,251.5,253.4,99,59,848
3/28/2012,251.5,253.49,99,60,780
3/29/2012,251.5,253.5,167,58,294
3/30/2012,251.5,253.44,215,62,137
3/31/2012,251.5,253.5,215,52,681
4/1/2012,251.5,253.49,215,55,201
4/2/2012,251.5,253.45,215,54,7
4/3/2012,251.5,253.4,339,62,56
4/4/2012,251.5,253.38,512,54,428
4/5/2012,251.5,253.31,389,48,46
4/6/2012,251.5,253.3,244,59,234
4/7/2012,251.5,253.24,244,59,111
4/8/2012,251.5,253.21,244,48,85
4/9/2012,251.5,253.18,244,48,85
4/10/2012,251.5,253.11,244,73,166
4/11/2012,251.5,253.05,282,59,73
4/12/2012,251.5,252.97,300,59,184
4/13/2012,251.5,252.92,233,57,41
4/14/2012,251.5,252.87,214,47,70
4/15/2012,251.5,252.84,213,59,73
4/16/2012,251.5,252.79,190,59,82
4/17/2012,251.5,252.77,155,71,93
4/18/2012,251.5,252.74,229,54,84
4/19/2012,251.5,252.68,303,56,38
4/20/2012,251.5,252.66,197,72,136
4/21/2012,251.5,252.69,154,54,407
4/22/2012,251.5,252.79,154,53,869
4/23/2012,251.5,252.78,154,59,147
4/24/2012,251.5,252.76,154,43,64
4/25/2012,251.5,252.72,154,69,42
4/26/2012,251.5,252.79,154,55,673
4/27/2012,251.5,252.83,255,62,582
4/28/2012,251.5,252.83,333,52,385
4/29/2012,251.5,252.79,333,47,115
4/30/2012,251.5,252.73,229,59,109
5/1/2012,251.5,252.73,154,67,221
5/2/2012,251.5,252.72,243,76,252
5/3/2012,251.5,252.65,333,65,65
5/4/2012,251.5,252.61,283,67,85
5/5/2012,251.5,252.78,213,58,1397
5/6/2012,251.5,253.16,214,60,2835
5/7/2012,251.5,253.14,644,58,564
5/8/2012,251.5,252.99,1156,65,189
5/9/2012,251.5,253.05,929,54,1394
5/10/2012,251.5,252.9,886,62,59
5/11/2012,251.5,252.8,848,65,251
5/12/2012,251.5,252.72,509,54,33
5/13/2012,251.5,252.63,509,65,22
5/14/2012,251.5,252.63,509,39,548
5/15/2012,251.5,252.65,509,67,709
5/16/2012,251.5,252.6,509,66,244
5/17/2012,251.5,252.53,642,50,228
5/18/2012,251.5,252.41,786,65,56
5/19/2012,251.5,252.3,786,55,112
5/20/2012,251.5,252.22,618,63,151
5/21/2012,251.5,252.15,343,62,58
5/22/2012,251.5,252.12,212,46,59
5/23/2012,251.5,252.18,257,80,734
5/24/2012,251.5,252.23,331,63,725
5/25/2012,251.5,252.21,276,71,214
5/26/2012,251.5,252.18,212,45,58
5/27/2012,251.5,252.14,212,75,22
5/28/2012,251.5,252.07,212,41,210
5/29/2012,251.5,252.03,180,83,2
5/30/2012,251.5,252.04,153,65,285
5/31/2012,251.5,251.98,153,65,172
6/1/2012,251.5,252.11,134,41,1029
6/2/2012,251.5,252.05,98,54,245
6/3/2012,251.5,252.04,98,59,91
6/4/2012,251.5,252.02,98,73,38
6/5/2012,251.5,251.97,98,62,160
6/6/2012,251.5,251.92,195,61,57
6/7/2012,251.5,251.86,224,72,79
6/8/2012,251.5,251.82,122,61,68
6/9/2012,251.5,251.77,97,73,143
6/10/2012,251.5,251.73,97,52,101
6/11/2012,251.5,251.74,97,65,225
6/12/2012,251.5,251.77,97,62,347
6/13/2012,251.5,251.9,98,66,977
6/14/2012,251.5,251.9,98,61,159
6/15/2012,251.5,251.85,98,40,175
6/16/2012,251.5,251.81,98,73,80
6/17/2012,251.5,251.79,97,72,44
6/18/2012,251.5,251.75,97,69,84
6/19/2012,251.5,251.72,97,65,26
6/20/2012,251.5,251.63,97,71,395
6/21/2012,251.5,251.63,97,75,172
6/22/2012,251.5,251.64,97,61,221
6/23/2012,251.5,251.6,97,59,95
6/24/2012,251.5,251.56,97,81,72
6/25/2012,251.5,251.5,97,62,216
6/26/2012,251.5,251.43,97,75,266
6/27/2012,251.5,251.39,97,76,77
6/28/2012,251.5,251.34,114,78,121
6/29/2012,251.5,251.32,140,94,109
6/30/2012,251.5,251.25,152,91,195
7/1/2012,251.5,251.17,152,72,276
7/2/2012,251.5,251.13,152,64,35
7/3/2012,251.5,251.06,138,78,222
7/4/2012,251.5,251,138,55,183
7/5/2012,251.5,250.97,115,84,24
7/6/2012,251.5,250.94,97,65,13
7/7/2012,251.5,250.88,111,65,175
7/8/2012,251.5,250.83,139,76,77
7/9/2012,251.5,250.78,152,65,76
7/10/2012,251.5,250.86,134,61,663
7/11/2012,251.5,251.04,97,59,1225
7/12/2012,251.5,251.03,97,41,75
7/13/2012,251.5,251,128,88,28
7/14/2012,251.5,250.98,158,73,114
7/15/2012,251.5,250.92,124,71,156
7/16/2012,251.5,250.9,124,59,66
7/17/2012,251.5,250.85,135,84,73
7/18/2012,251.5,250.78,152,80,178
7/19/2012,251.5,250.76,152,76,111
7/20/2012,251.5,250.73,151,62,38
7/21/2012,251.5,250.71,151,74,108
